id2,geography,year,state,percent_renter,percent_asian,percent_black,percent_hispanic,percent_multifamily_housing,eviction_rate,poverty_rate,median_income,avg_cost_electricity,avg_cost_gas,avg_cost_water,asthma_rate
13089021209,"Census Tract 212.09, DeKalb County, Georgia",2013,GA,0.521,0.146,0.108,0.026,0.537718985,0.89,5.76,64410,1406.45,538.78,129.88,n/a
13089021210,"Census Tract 212.10, DeKalb County, Georgia",2013,GA,0.083,0.047,0.013,0.007,0.036800785,4.83,1.87,113493,1884.16,528.32,837.33,n/a
13089021211,"Census Tract 212.11, DeKalb County, Georgia",2013,GA,0.051,0.094,0.014,0.05,0.03500761,2.46,0.85,101226,1485.06,1194.71,526.96,n/a
13089021213,"Census Tract 212.13, DeKalb County, Georgia",2013,GA,0.03,0.023,0,0.022,0,4,3.38,131324,1789.85,1337.77,1338.01,n/a
13089021214,"Census Tract 212.14, DeKalb County, Georgia",2013,GA,0.1,0.009,0.018,0.045,0.017357763,3.23,4.11,105161,1485.06,1194.71,526.96,n/a
13089021215,"Census Tract 212.15, DeKalb County, Georgia",2013,GA,0.707,0.373,0.108,0.089,0.765449438,1.81,6.71,88346,1009.3,759.41,469.77,n/a
13089021216,"Census Tract 212.16, DeKalb County, Georgia",2013,GA,0.737,0.162,0.146,0.082,0.794236926,2.49,7.71,63595,953.82,1189.94,412.9,n/a
13089021217,"Census Tract 212.17, DeKalb County, Georgia",2013,GA,0.35,0.104,0.119,0.059,0.322453017,10.18,8.41,73927,722.56,636,352.89,n/a
13089021218,"Census Tract 212.18, DeKalb County, Georgia",2013,GA,0.618,0.156,0.266,0.044,0.802594473,2.41,6.7,53820,1083.46,1112.2,623.11,n/a
13089021301,"Census Tract 213.01, DeKalb County, Georgia",2013,GA,0.806,0.079,0.358,0.254,0.762188516,5.69,13.99,37292,1385.18,1334.86,775.17,n/a
